"Qty","Value","Part Num","Package","Parts"
"13","","LED","LED3MM","LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9, LED10, LED11, LED12, LED13"
"3","1uF","1UF 0603","CAPC1608X92N","C2, C3, C4"
"1","1uF/16V","1UF, 0805","ENP2,5-6","C1"
"1","39R","39R, 0603","RESC1608X55N","R4"
"1","74HC04","74HC04","SO14","U1"
"1","220K","220K, 0603","RESC1608X55N","R3"
"1","330K","330K, 0603","RESC1608X55N","R2"
"1","560K","560K, 0603","RESC1608X55N","R1"

